region,retailer,asin,isbn13,title_name,authors,sales_rank,list_price,print_list_price,price,currency,timestamp,synopsis,imprint_i,release_date,imprint_ii,language,download_options,number_of_pages,hours_to_read,total_words,rating,category_rankings,image,url
US,Kobo US,,9.78E+12,The Rancher's Legacy and The Texan's Secret Daughter,Jessica Keller,,N/A,,$5.99 ,USD,8/3/2024 1:22,"A second chance when you least expect it…
The Rancher’s Legacy by Jessica Keller
Returning home isn’t part of Rhett Jarrett’s plan—until he inherits the family ranch from his father. Running it won’t be easy with his ranch assistant and childhood friend, Macy Howell, challenging all his decisions. But a long-buried family secret might help Rhett begin to see things Macy’s way…and allow them to find love—and a home—together at last.
The Texan’s Secret Daughter by Jolene Navarro
Turning his life around was the hardest thing Elijah De La Rosa ever had to do—until his ex-wife, Jazmine Daniels, returns with their young daughter he didn’t know existed. Now this successful rancher will do anything to be a good father. But can he forgive himself for the past…and turn their second chance into a family for always?",Harlequin,13-Apr-21,Love Inspired MMP 2in1 Western (Western Collection),English,EPUB 3 (Adobe DRM),"418
Pages","8 - 9
Hours to read","113k
Total words",Rated 0 out of 5 stars,"#8381 in Romance, Inspired Romance #90433 in Romance, Contemporary #220871 in Romance",https://cdn.kobo.com/book-images/bd9df5a9-56bc-4247-8f99-0ac2c2f5a6d1/353/569/90/False/the-rancher-s-legacy-and-the-texan-s-secret-daughter.jpg,https://www.kobo.com/us/en/ebook/the-rancher-s-legacy-and-the-texan-s-secret-daughter
US,Kobo US,,9.78E+12,My Darling Husband,Kimberly Belle,,N/A,,$14.99 ,USD,8/3/2024 1:23,"""Riveting suspense, truly surprising revelations, and silky smooth writing make this one unmissable!"" — **Joshilyn Jackson, New York Times bestselling author of Mother May I
Bestselling author of DEAR WIFE and THE MARRIAGE LIE, Kimberly Belle returns with her most heart-pounding thriller to date, as a masked home invader reveals the cracks in a marriage.**
Everyone is about to know what her husband isn’t telling her…
Jade and Cam Lasky are by all accounts a happily married couple with two adorable kids, a spacious home and a rapidly growing restaurant business. But their world is tipped upside down when Jade is confronted by a masked home invader. As Cam scrambles to gather the ransom money, Jade starts to wonder if they’re as financially secure as their lifestyle suggests, and what other secrets her husband is keeping from her.
Cam may be a good father, a celebrity chef and a darling husband, but there’s another side he’s kept hidden from Jade that has put their family in danger. Unbeknownst to Cam and Jade, the home invader has been watching them and is about to turn their family secrets into a public scandal.
With riveting twists and a breakneck pace, My Darling Husband is an utterly compelling thriller that once again showcases Kimberly Belle's exceptional talent for domestic suspense.
Don't miss bestselling author Kimberly Belle's next deeply addictive thriller, The Personal Assistant—where she explores the dark side of the digital world when a mommy-blogger’s assistant goes missing!
Look for these other pulse-pounding thrillers by Kimberly Belle:

The Marriage Lie
The Last Breath
Stranger in the Lake
Three Days Missing
Dear Wife
The Ones We Trust",Park Row Books,28-Dec-21,Park Row,English,EPUB 3 (Adobe DRM),"300
Pages","7 - 8
Hours to read","93k
Total words",Rated 4.10 out of 5 stars with 68 ratings,"#11688 in Fiction & Literature, Thrillers #18329 in Mystery & Suspense, Thrillers #31216 in Mystery & Suspense",https://cdn.kobo.com/book-images/7f7d6161-ca26-43af-a95e-441969434885/353/569/90/False/my-darling-husband.jpg,https://www.kobo.com/us/en/ebook/my-darling-husband
US,Kobo US,,9.78E+12,Conceal,Janie Crouch,,$6.99 ,,$4.99 ,USD,8/3/2024 1:23,"Originally published as Untraceable, undercover operatives must complete their daunting mission while confronting a traumatic past in this reader favorite from USA TODAY bestselling author Janie Crouch
As Bob and Lisa Sinclair, Omega Sector agents Evan Karcz and Juliet Branson were a formidable couple—until a brutal attack left Juliet traumatized. But with a powerful crime boss selling military secrets, the safety of millions depends on the undercover operatives. It’s up to Evan to rehabilitate Juliet…and not fail her as he did on the mission that still haunts him.
Evan’s strategy is to be near Juliet night and day to practice posing as a loving couple. But soon he realizes there’s a sizzling passion between them. And it’s being threatened by forces stronger than they ever realized. With a killer stalking Lisa Sinclair, her “husband” knows he’d risk his cover—and his life—to protect her.
Originally published in 2015",Harlequin,12-Oct-20,Harlequin Special Releases,English,EPUB 3 (Adobe DRM),"221
Pages","4 - 5
Hours to read","60k
Total words",Rated 5.0 out of 5 stars with 4 ratings,"#7209 in Mystery & Suspense, Police Procedural #24072 in Romance, Romantic Suspense #141207 in Romance",https://cdn.kobo.com/book-images/0aea1369-3550-431b-8544-30aac95e5f50/353/569/90/False/conceal-3.jpg,https://www.kobo.com/us/en/ebook/conceal-3
US,Kobo US,,9.78E+12,A Lady of Expectations,Stephanie Laurens,,N/A,,$6.99 ,USD,8/3/2024 1:23,"Love is in the air in London society in this heartwarming tale, only from New York Times bestselling author Stephanie Laurens.
Jack Lester has to find a bride...
But where can he find the perfect woman? She has to be attractive, kind, a good conversationalist...and most important, she has to accept him as he is: devilishly handsome, charming and, as far as anyone knows, poor as a church mouse! If London society discovers his hidden wealth, he’ll never find the right wife.
Jack’s heart races when he first lays eyes on Sophie Winterton. She is everything he desires—and more—but he is caught in his own trap. Believing that Jack needs to marry into wealth, Sophie rejects all his advances, certain he would never marry a poor girl like her. As they play out a game of cat and mouse, can Jack convince her that she is the woman he wants—and that he is the husband she deserves?
Previously published",MIRA Books,22-Feb-21,MIRA,English,EPUB 3 (Adobe DRM),"400
Pages","6 - 7
Hours to read","88k
Total words",Rated 4.22 out of 5 stars with 9 ratings,"#6382 in Fiction & Literature, Short Stories #11281 in Romance, Historical #85973 in Romance",https://cdn.kobo.com/book-images/34b01fb0-b835-4df0-9df9-3cd20bf5522e/353/569/90/False/a-lady-of-expectations-6.jpg,https://www.kobo.com/us/en/ebook/a-lady-of-expectations-6
US,Kobo US,,9.78E+12,Dirty Plays,Emma Salah,,N/A,,$1.99 ,USD,8/3/2024 1:23,"He’s playing a dangerous game. And winner takes all.
Aidan Thomas is staying at his brother’s apartment while his own home is being remodeled, but the apartment isn’t as vacant as he was led to believe. Pushed out of her own place by a rent increase, Letty Garcia, his sister’s gorgeous best friend, is staying there too. The involuntary cohabitation is a temporary solution, one they can both endure unscathed.
Maybe.
But the intense attraction that’s long lingered between them sure is making things hard.
Cards. Truth or Sexy Truth. For these red-hot roomies, no game is off the table. But all bets are off when heartbreak-veteran Letty wants to keep things light and fun—and Aidan starts playing for keeps. With both of their hearts on the line, the stakes have never been higher.
Game on.
Becoming a Thomas
Book 1: Dirty Tactics
Book 2: Dirty Plays",Carina Press,8-Jun-21,Carina Press,English,EPUB 3 (DRM-Free),"285
Pages","5 - 6
Hours to read","77k
Total words",Rated 4.0 out of 5 stars with 1 ratings,"#8708 in Romance, Contemporary #19344 in Romance",https://cdn.kobo.com/book-images/1d40ebf1-9861-4e81-814a-3076f0816cfc/353/569/90/False/dirty-plays.jpg,https://www.kobo.com/us/en/ebook/dirty-plays
US,Kobo US,,9.78E+12,Riley and Lone Star Lovers,Lori Foster,,N/A,,$6.99 ,USD,8/3/2024 1:23,"She's determined to be in control…
Riley by New York Times Bestselling Author Lori Foster
Regina Foxworth has no clue why an unknown assailant is out to get a small-town reporter like her. Or why the police won’t take her concerns seriously. So Regina gets a guard dog—make that a four-pound “guard” Chihuahua!—and signs up for self-defense classes. But she might get more than she expected when she starts to fall for sexy instructor Riley Moore!
FREE BONUS STORY INCLUDED IN THIS VOLUME!
Lone Star Lovers by Jessica Lemmon
Penelope Brand’s hookup with billionaire Zach Ferguson was casual. Until he announces her as his fake fiancée to avoid scandal—and she discovers she’s pregnant. Now Zach demands they say “I do” for their child. But Pen won’t settle for a sham marriage. If Zach wants to keep his Lone Star lover, it’s his whole heart or nothing…
New York Times Bestselling Author Lori Foster",Harlequin,29-Mar-22,Harlequin,English,EPUB 3 (Adobe DRM),N/A,N/A,N/A,Rated 0 out of 5 stars,"#24084 in Romance, Romantic Suspense #61923 in Romance, Contemporary",https://cdn.kobo.com/book-images/b27618d4-7613-499f-b510-dad9deeaa9a7/353/569/90/False/riley-and-lone-star-lovers.jpg,https://www.kobo.com/us/en/ebook/riley-and-lone-star-lovers
US,Kobo US,,9.78E+12,Jordan and His Secretary's Surprise Fiancé,Lori Foster,,N/A,,$5.99 ,USD,8/3/2024 1:23,"When the wrong one comes along
Jordan by New York Times Bestselling Author Lori Foster
Jordan Sommerville was a healer of helpless animals, a rescuer of strays, a man who could seduce a woman with his voice alone. Yet he didn't use that power often. His brothers joked that he was holding out for a paragon of virtue, and not many in Buckhorn qualified. But then he met Georgia Barnes and broke all his own rules!
FREE BONUS STORY INCLUDED IN THIS VOLUME!
His Secretary''s Surprise Fiancé by USA TODAY Bestselling Author Joanne Rock
Adelaide Thibodeaux has worked for Dempsey Reynaud for years. But when the billionaire football coach suddenly proposes to keep her from resigning, it's a low blow. Just as she's ready to strike out on her own, she's stuck in a fake relationship with her boss. Then Adelaide faces a second blow: she's actually falling for the man! Can a relationship founded on a lie become the real deal?
New York Times Bestselling Author Lori Foster",Harlequin,24-May-22,Harlequin,English,EPUB 3 (Adobe DRM),"347
Pages","8 - 9
Hours to read","107k
Total words",Rated 0 out of 5 stars,"#832 in Nonfiction, Entertainment, Drama, Anthologies #4744 in Fiction & Literature, Saga #56369 in Romance, Contemporary",https://cdn.kobo.com/book-images/fc82c6cb-7411-40d0-8750-d986308ebad3/353/569/90/False/jordan-and-his-secretary-s-surprise-fiance.jpg,https://www.kobo.com/us/en/ebook/jordan-and-his-secretary-s-surprise-fiance
US,Kobo US,,9.78E+12,Silver in the Mist,Emily Victoria,,N/A,,$7.99 ,USD,8/3/2024 1:23,"""A fast-paced fantasy for fans of complicated families, lush magic, and beautiful friendships."" — Linsey Miller, author of Mask of Shadows
Eight years ago, everything changed for Devlin: Her country was attacked. Her father was killed. And her mother became the Whisperer of Aris, the head of the spies, retreating into her position away from everyone… even her daughter.
Joining the spy ranks herself, Dev sees her mother only when receiving assignments. She wants more, but she understands the peril their country, Aris, is in. The malevolent magic force of The Mists is swallowing Aris’s edges, their country is vulnerable to another attack from their wealthier neighbor, and the magic casters who protect them from both are burning out.
Dev has known strength and survival her whole life, but with a dangerous new assignment of infiltrating the royal court of their neighbor country Cerena to steal the magic they need, she learns that not all that glitters is weak. And not all stories are true.",Inkyard Press,1-Nov-22,Inkyard Press,English,EPUB 3 (Adobe DRM),"304
Pages","6 - 7
Hours to read","86k
Total words",Rated 4.5 out of 5 stars with 2 ratings,"#373 in Kids, Teen, Fantasy and Magic #381 in Young Adult - YA, Fantasy #810 in Kids, Teen",https://cdn.kobo.com/book-images/f1eccb73-3698-47b3-a915-0182e900d0c5/353/569/90/False/silver-in-the-mist.jpg,https://www.kobo.com/us/en/ebook/silver-in-the-mist
US,Kobo US,,9.78E+12,The Kindred,Alechia Dow,,N/A,,$10.49 ,USD,8/3/2024 1:23,"“Utterly swoony…an endearing reminder that true love can change the world”
—J. Elle, New York Times bestselling author of Wings of Ebony
To save a galactic kingdomfrom revolution, Kindred mind-pairings were created to ensure each and every person would be seen and heard, no matter how rich or poor…
Joy Abara knows her place. A commoner from the lowly planet Hali, she lives a simple life—apart from the notoriety that being Kindred to the nobility’s most infamous playboy brings.
Duke Felix Hamdi has a plan. He will exasperate his noble family to the point that they agree to let him choose his own future and finally meet his Kindred face-to-face.
Then the royal family is assassinated, putting Felix next in line for the throne…and accused of the murders. Someone will stop at nothing until he’s dead, which means they’ll target Joy, too. Meeting in person for the first time as they steal a spacecraft and flee amid chaos might not be ideal…and neither is crash-landing on the strange backward planet called Earth. But hiding might just be the perfect way to discover the true strength of the Kindred bond and expose a scandal—and a love—that may decide the future of a galaxy.",Inkyard Press,4-Jan-22,Inkyard Press,English,EPUB 3 (Adobe DRM),"304
Pages","8 - 9
Hours to read","102k
Total words",Rated 4.0 out of 5 stars with 2 ratings,"#992 in Kids, Teen, Science Fiction #1071 in Young Adult - YA, Science Fiction #5226 in Kids, Teen, General Fiction",https://cdn.kobo.com/book-images/67315e2f-c133-45eb-9eca-c42e1592f6aa/353/569/90/False/the-kindred-11.jpg,https://www.kobo.com/us/en/ebook/the-kindred-11
US,Kobo US,,9.78E+12,Wildfire Threat,Cathy McDavid,,N/A,,$3.99 ,USD,8/3/2024 1:23,"As flames race toward her ranch
She must rely on an old enemy…
An out-of-control blaze has single mom Rayna Karstetter scrambling to protect her little boy, grandparents and their cattle. Forest ranger Aden Whitley offers his help, but Rayna doesn’t want to accept. Her feelings for Aden haven’t gone away…and neither has the sting of his betrayal. But when the wildfire forces an evacuation order, can they work together in order to survive?
New York Times Bestselling Author",Harlequin,24-May-22,Inspirational Mountain Rescue Collection,English,EPUB 3 (Adobe DRM),"223
Pages","4 - 5
Hours to read","60k
Total words",Rated 4.0 out of 5 stars with 1 ratings,"#7215 in Fiction & Literature, Religious #24076 in Romance, Romantic Suspense #141195 in Romance",https://cdn.kobo.com/book-images/d6f89819-b493-4039-b6ff-71e5feb5bc85/353/569/90/False/wildfire-threat.jpg,https://www.kobo.com/us/en/ebook/wildfire-threat
US,Kobo US,,9.78E+12,The Accused,Jana DeLeon,,N/A,,$4.99 ,USD,8/3/2024 1:23,"Don't miss this classic gothic tale from New York Times bestselling author Jana DeLeon
After working as a cop in New Orleans, Carter Trahan is back in Mystere Parish, where his latest assignment seems like a joke: making sure Alaina LeBeau lives in her childhood home for two weeks to comply with her mother''s will. But soon the sexy sheriff isn''t laughing. Someone—or something—is stalking the beautiful defense lawyer, turning her once-grand mansion into a house of horrors.
But as he searches for the truth, Carter must face ghosts of his own past lurking in the bayou. Most troubling of all is his unprofessional attraction to the woman he''s protecting, as Alaina''s allure haunts him as no specter ever could….
Previously published.
For fans of thrillers with:

New Orleans Bayou
haunted mansion
stalker
hidden past

Mystere Parish
Book 1: The Reckoning
Book 2: The Vanishing
Book 3: The Awakening
Mystere Parish: Family Inheritance
Book 1: The Accused
Book 2: The Betrayed
Book 3: The Reunion",Harlequin,8-Feb-21,Harlequin Intrigue,English,EPUB 3 (Adobe DRM),"256
Pages","4 - 5
Hours to read","61k
Total words",Rated 4.57 out of 5 stars with 7 ratings,"#14418 in Romance, Romantic Suspense #19168 in Mystery & Suspense, Thrillers #75331 in Romance",https://cdn.kobo.com/book-images/ae967815-400e-4135-b659-a4a2b2bcebe3/353/569/90/False/the-accused-23.jpg,https://www.kobo.com/us/en/ebook/the-accused-23
US,Kobo US,,9.78E+12,Stern and Playing with Desire,Brenda Jackson,,N/A,,$5.99 ,USD,8/3/2024 1:24,"Breaking their own rules…
Stern by New York Times Bestselling Author Brenda Jackson
Stern Westmoreland never makes mistakes—until he helps his best friend, Jovonnie “JoJo” Jones, with a makeover…for another man. Now Stern wants JoJo for himself. Their attraction is undeniable and there’s only one way to test it: one long, steamy night together as much more than friends!
FREE BONUS STORY INCLUDED IN THIS VOLUME!
Playing with Desire by Reese Ryan
CEO Liam Westbrook didn’t make his way to the top of his family’s international luxury-resort empire by playing it safe. So when the bachelor spies gorgeous Maya Alvarez under a smoldering North Carolina moon, he makes a scandalous proposal. The divorced single mother thinks a hot summer fling with a seductive stranger is just what she needs. But can Liam and Maya trust where their hearts are leading them?",Harlequin,28-Sep-21,Harlequin,English,EPUB 3 (Adobe DRM),"410
Pages","8 - 9
Hours to read","111k
Total words",Rated 0 out of 5 stars,"#13068 in Fiction & Literature, Westerns #90426 in Romance, Contemporary #220871 in Romance",https://cdn.kobo.com/book-images/8f289220-9f95-46a7-af35-d64cabd97d8d/353/569/90/False/stern-and-playing-with-desire.jpg,https://www.kobo.com/us/en/ebook/stern-and-playing-with-desire
US,Kobo US,,9.78E+12,Night Heat,Brenda Jackson,,$4.99 ,,$1.99 ,USD,8/3/2024 1:24,"A corporate takeover is derailed by a passionate night neither expected in this sizzling Steele story from New York Times bestselling author Brenda Jackson!
Sebastian Steele was the kind of man women dreamed about.
He was drop-dead gorgeous, wickedly charming and fabulously wealthy. So why wouldn’t Jocelyn Mason accept his offer to help run her struggling company with his reputation and business acumen? But Sebastian was a corporate shark, and Jocelyn knew that big fish didn’t swim with little fish, they swallowed them whole.
It had been Sebastian’s intention to take over Mason Builders but, when he started to work with Jocelyn, sparks began to fly and they shared a sizzling, unforgettable night together. And soon it wasn’t clear who was bossing whom….
Previously published.
Read the bingeworthy Forged of Steele series:
Book 1: Never Too Late
Book 2: Solid Soul
Book 3: Night Heat
Book 4: Beyond Temptation
Book 5: Risky Pleasures
Book 6: Irrestiable Forces
Book 7: Intimate Seduction
Book 8: Hidden Pleasures
Book 9: A Steele for Christmas
Book 10: Private Arrangements
Book 11: Possesed by Passion
Book 12: Seduced by a Steele
Book 13: Claimed by a Steele",Harlequin,8-Feb-21,Harlequin Special Releases,English,EPUB 3 (Adobe DRM),"242
Pages","4 - 5
Hours to read","65k
Total words",Rated 5.0 out of 5 stars with 1 ratings,"#2766 in Fiction & Literature, Saga #32866 in Romance, Contemporary #71381 in Romance",https://cdn.kobo.com/book-images/df2c69cc-7c6f-459c-9cf9-fc6694582d2a/353/569/90/False/night-heat-17.jpg,https://www.kobo.com/us/en/ebook/night-heat-17
US,Kobo US,,9.78E+12,Smoky Mountain Danger,April Arrington,,N/A,,$3.99 ,USD,8/3/2024 1:24,"***In the mountain wilderness…
They have only one chance to make it home.***
Taylor Holt was sure she and her rafting group—single dad Will Morgan and his daughter—could make it down the rapids of the Great Smoky Mountains. But when disaster strikes, Will and Taylor must depend on each other to survive. With Taylor’s past still haunting her, can their tentative trust be enough to run a lethal gauntlet of dangers—and survive?",Harlequin,28-Sep-21,Inspirational Mountain Rescue Collection,English,EPUB 3 (Adobe DRM),"212
Pages","4 - 5
Hours to read","57k
Total words",Rated 5.0 out of 5 stars with 1 ratings,"#11723 in Fiction & Literature, Religious #33261 in Romance, Romantic Suspense #220857 in Romance",https://cdn.kobo.com/book-images/432392a2-4d33-49b5-8468-e8121b5508b6/353/569/90/False/smoky-mountain-danger.jpg,https://www.kobo.com/us/en/ebook/smoky-mountain-danger
US,Kobo US,,9.78E+12,This Is Why We Lie,Gabriella Lepore,,N/A,,$5.99 ,USD,8/3/2024 1:24,"Everyone in Gardiners Bay has a secret.
When Jenna Dallas and Adam Cole find Colleen O’Dell’s body floating off the shore of their coastal town, the community of Gardiners Bay is shaken. But even more shocking is the fact that her drowning was no accident.
Once Jenna’s best friend becomes a key suspect, Jenna starts to look for answers on her own. As she uncovers scandals inside Preston Prep School leading back to Rookwood reform school, she knows she needs Adam on her side.
As a student at Rookwood, Adam is used to getting judgmental looks, but now his friends are being investigated by the police. Adam will do whatever he can to keep them safe, even if that means trusting Jenna.
As lies unravel, the truth starts to blur. Only one thing is certain: somebody must take the fall.",Inkyard Press,21-Sep-21,Inkyard Press,English,EPUB 3 (Adobe DRM),"304
Pages","4 - 5
Hours to read","62k
Total words",Rated 0 out of 5 stars,"#8786 in Kids, Teen, Social Issues #13159 in Kids, Teen, General Fiction #25232 in Young Adult - YA",https://cdn.kobo.com/book-images/7a0964d0-acf3-409e-bd6e-4d9a34e40d60/353/569/90/False/this-is-why-we-lie.jpg,https://www.kobo.com/us/en/ebook/this-is-why-we-lie
US,Kobo US,,9.78E+12,Her Holiday Family and The Sheriff's Christmas Twins,Winnie Griggs,,N/A,,$5.99 ,USD,8/3/2024 1:24,"Surprise Christmas blessings
Her Holiday Family by Winnie Griggs
Reserved widow Eileen Pierce never considered herself cut out to be a mother. But when handyman Simon Tucker is stranded in town with ten young orphans at Christmastime, she can't just turn them away. Though Simon’s easygoing demeanor clashes with Eileen’s buttoned-up propriety, his kindness melts her stern facade. Soon Simon and the children upend Eileen's quiet, orderly life. Will they do the same to her guarded heart?
The Sheriff's Christmas Twins by Karen Kirst
Convinced that Allison Ashworth deserves better, Sheriff Shane Timmons has always tried to remain aloof. But with Allison in Gatlinburg for the holidays and caring for two motherless babies, Shane wants to help her. Allison has always been drawn to Shane, but he never seemed to look her way. Now, spending time with him and the twins gives her hope that her dreams of motherhood—and a life with Shane—may come true.",Harlequin,30-Nov-21,Love Inspired Classics,English,EPUB 3 (Adobe DRM),"512
Pages","12 - 13
Hours to read","154k
Total words",Rated 0 out of 5 stars,"#8380 in Romance, Inspired Romance #220887 in Romance",https://cdn.kobo.com/book-images/bae2c37b-154d-4759-8428-a85298f33457/353/569/90/False/her-holiday-family-and-the-sheriff-s-christmas-twins.jpg,https://www.kobo.com/us/en/ebook/her-holiday-family-and-the-sheriff-s-christmas-twins
US,Kobo US,,9.78E+12,You Truly Assumed,Laila Sabreen,,$10.99 ,,$8.99 ,USD,8/3/2024 1:24,"""You Truly Assumed is a beautiful portrayal of the multitude of ways to be Black and Muslim while navigating our contemporary world. A must-read for everyone.""—Adiba Jaigirdar, author of The Henna Wars
In this compelling and thought-provoking debut novel, after a terrorist attack rocks the country and anti-Islamic sentiment stirs, three Black Muslim girls create a space where they can shatter assumptions and share truths.
Sabriya has her whole summer planned out in color-coded glory, but those plans go out the window after a terrorist attack near her home. When the terrorist is assumed to be Muslim and Islamophobia grows, Sabriya turns to her online journal for comfort. You Truly Assumed was never meant to be anything more than an outlet, but the blog goes viral as fellow Muslim teens around the country flock to it and find solace and a sense of community.
Soon two more teens, Zakat and Farah, join Bri to run You Truly Assumed and the three quickly form a strong friendship. But as the blog’s popularity grows, so do the pushback and hateful comments. When one of them is threatened, the search to find out who is behind it all begins, and their friendship is put to the test when all three must decide whether to shut down the blog and lose what they’ve worked for…or take a stand and risk everything to make their voices heard.
“I reached the ending with tears in my eyes—tears cued not by sadness but hope and elation.” —S. K. Ali, New York Times bestselling author of The Proudest Blue and Love from A to Z",Inkyard Press,8-Feb-22,Inkyard Press,English,EPUB 3 (Adobe DRM),"304
Pages","6 - 7
Hours to read","89k
Total words",Rated 4.40 out of 5 stars with 5 ratings,"#4052 in Young Adult - YA, Social Issues #21813 in Young Adult - YA #26421 in Kids, Teen",https://cdn.kobo.com/book-images/e70b170c-786e-436c-bb3f-166e2aec85d2/353/569/90/False/you-truly-assumed.jpg,https://www.kobo.com/us/en/ebook/you-truly-assumed
US,Kobo US,,9.78E+12,The Betrayed,Jana DeLeon,,$5.99 ,,$4.99 ,USD,8/3/2024 1:24,"A man undercover must reveal the truth in the swamps in the continuation of *New York Times*bestselling author Jana DeLeon''s Mystere Parish: Family Inheritance.
One day on the job and contractor Zach Sargent is ready to believe the dilapidated old LeBeau mansion is haunted. Some intruder—earthly or not—is threatening the youngest LeBeau sister, back to claim her inheritance. And though Danae keeps her distance from the sexy hired hand, he falls for her in a heartbeat.
Like Danae, Zach has come back to Calais in need of answers to troubling questions about the LeBeau family past. But Danae must never know who he really is and he can''t let his attraction to her stop his search…or else a decades-old evil will claim a new victim.
Previously published
For fans of thrillers with:

New Orleans Bayou
haunted mansion
secret identity
mysterious threats

Mystere Parish
Book 1: The Reckoning
Book 2: The Vanishing
Book 3: The Awakening
Mystere Parish: Family Inheritance
Book 1: The Accused
Book 2: The Betrayed
Book 3: The Reunion",Harlequin,8-Mar-21,Harlequin Intrigue,English,EPUB 3 (Adobe DRM),"256
Pages","4 - 5
Hours to read","59k
Total words",Rated 4.78 out of 5 stars with 9 ratings,"#11749 in Romance, Paranormal #14072 in Romance, Romantic Suspense #73202 in Romance",https://cdn.kobo.com/book-images/6e9bde99-747a-42c2-86d7-32a5f84f8258/353/569/90/False/the-betrayed-32.jpg,https://www.kobo.com/us/en/ebook/the-betrayed-32
US,Kobo US,,9.78E+12,Race Against Time,Christy Barritt,,N/A,,$4.99 ,USD,8/3/2024 1:24,"A single mother is caught in a killer’s crosshairs and needs a protector in this suspenseful romance from USA TODAY bestselling author Christy Barritt.
Were it not for her cop neighbor, widowed mother Madison Jacobs would be dead. Thankfully, Detective Brody Philips interrupts an attempt on her life in the nick of time. But the would-be killer hasn’t given up, and each tick of the clock brings the madman closer to finishing what he started. Brady vows to catch the serial killer plaguing the sleepy Virginia town…especially when he realizes the danger has followed him from the big city. With everyone around him at risk, it’ll take everything Brody’s got to do his duty and keep Madison and her son safe.
From Love Inspired Suspense: Courage. Danger. Faith.",Harlequin,8-Feb-21,Love Inspired Suspense,English,EPUB 3 (Adobe DRM),"224
Pages","4 - 5
Hours to read","58k
Total words",Rated 5.0 out of 5 stars with 1 ratings,"#11725 in Fiction & Literature, Religious #33255 in Romance, Romantic Suspense #220871 in Romance",https://cdn.kobo.com/book-images/6a59ff5d-b0f8-41a0-8232-ec6f918a055c/353/569/90/False/race-against-time-23.jpg,https://www.kobo.com/us/en/ebook/race-against-time-23
US,Kobo US,,9.78E+12,The McKettrick Way and A Baby and a Betrothal,Linda Lael Miller,,N/A,,$5.99 ,USD,8/3/2024 1:24,"A baby on her terms
The McKettrick Way by #1 New York Times Bestselling Author Linda Lael Miller
Meg McKettrick longs for a baby—husband optional. Perfect father material is gorgeous Brad O’Ballivan, an old flame and the new owner of his family’s ranch in Stone Creek. But Meg—as strong, proud and stubborn as her ancestors from Indian Rock’s Triple M ranch—wants to do things her way…the McKettrick way. And Brad feels just as strongly about the O’Ballivan way!
FREE BONUS STORY INCLUDED IN THIS VOLUME!
A Baby and a Betrothal by USA TODAY Bestselling Author Michelle Major
As proud as Katie Garrity is of her bakery, she’s ready to be more than just The Cupcake Lady. She wants to be Mrs. and Mommy, too. But in the small mountain town of Crimson, there aren’t many candidates for a dad—until the one who got away returns. Forest ranger Noah Crawford can’t commit to forever, though. But after one explosive night, it just may be too late…
#1 New York Times Bestselling Author Linda Lael Miller",Harlequin,28-Dec-21,Harlequin,English,EPUB 3 (Adobe DRM),"461
Pages","9 - 10
Hours to read","125k
Total words",Rated 5.0 out of 5 stars with 1 ratings,"#90420 in Romance, Contemporary #220851 in Romance #267144 in Fiction & Literature",https://cdn.kobo.com/book-images/680b0c49-2830-4313-879d-36b1bbd14ea1/353/569/90/False/the-mckettrick-way-and-a-baby-and-a-betrothal.jpg,https://www.kobo.com/us/en/ebook/the-mckettrick-way-and-a-baby-and-a-betrothal
US,Kobo US,,9.78E+12,Suspicious & A Hero of Her Own,Heather Graham,,N/A,,$4.99 ,USD,8/3/2024 1:24,"Trust is the only choice…
Suspicious by New York Times bestselling author Heather Graham
Lawyer Lorena Fortier’s suspicions about her father’s death have brought her to a small town nestled in the Everglades. But when a killer claims more victims, Lorena’s in over her head. Hardened cop Jesse Crane only complicates matters. As they face danger more menacing than any they had ever imagined, Lorena needs to put her life in Jesse’s hands. Can she do the same with her heart?
FREE BONUS STORY INCLUDED IN THIS VOLUME!
A Hero of Her Own by New York Times bestselling author Carla Cassidy
Psychologist Jewel Mayfair’s days at Hopechest Ranch were filled with the joy of helping troubled children. But her nights were plagued by fear…and dreams that seemed all too real. Until handsome vet Quinn Logan chased away the terror. Can she trust Quinn and the passion he offers? Or is she falling in love with a man out to destroy her sanity and her life?",Harlequin,29-Dec-20,Harlequin Red Diamond Collection,English,EPUB 3 (Adobe DRM),"433
Pages","9 - 10
Hours to read","117k
Total words",Rated 4.0 out of 5 stars with 1 ratings,"#1028 in Fiction & Literature, Short Stories #3424 in Romance, Romantic Suspense #7925 in Romance, Contemporary",https://cdn.kobo.com/book-images/821a9b01-8ef4-4bef-920b-c477ccdc2242/353/569/90/False/suspicious-a-hero-of-her-own.jpg,https://www.kobo.com/us/en/ebook/suspicious-a-hero-of-her-own
